Rank,Rank100,Rank300,Rank500,Player,@001nic2nÏco3vöe,Age,Points,TournamentPlayed,Weightkg,Heightcm,Win,Lose,Prizemoney,Aces,DoubleFaults,@1stServe,@1stServePointsWon,@2ndServePointsWon,BreakPointsFaced,BreakPointsSaved,ServiceGamesPlayed,ServiceGamesWon,TotalServicePointsWon,@1stServeReturnPointsWon,@2ndServeReturnPointsWon,BreakPointsOpportunities,BreakPointsConverted,ReturnGamesPlayed,ReturnGamesWon,ReturnPointsWon,TotalPointsWon,VAR00001
39,1,1,1,Albert Ramos-Vinolas,3,34,1075,28,76.0,188,25,27,957144,129,93,.65,.66,.51,414,.62,622.000,.75,.61,.31,.51,357,.41,632.000,.23,.38,.49, 
40,1,1,1,Emil Ruusuvuori,3,23,1011,28,79.0,188,35,29,995458,220,186,.67,.69,.51,386,.60,698.000,.78,.63,.32,.52,441,.40,694.000,.25,.39,.51, 
41,1,1,1,John Isner,3,37,1005,19,108.0,208,23,17,1076536,895,109,.68,.81,.53,168,.70,603.000,.92,.72,.21,.39,158,.29,604.000,.08,.28,.50, 
42,1,1,1,Jack Draper,3,21,990,20,85.0,193,19,14,882160,271,102,.59,.76,.51,199,.71,372.000,.85,.65,.28,.52,217,.41,371.000,.24,.37,.51, 
43,1,1,1,Sebastian Baez,3,21,987,28,70.0,170,26,30,888761,88,106,.72,.64,.52,387,.59,623.000,.74,.61,.32,.51,412,.39,630.000,.25,.39,.50, 
44,1,1,1,Arthur Rinderknech,3,27,952,22,88.0,196,22,19,827543,384,73,.66,.75,.49,233,.65,509.000,.84,.66,.24,.45,203,.34,509.000,.14,.32,.49, 
45,1,1,1,Lorenzo Sonego,3,27,950,28,76.0,191,26,29,1087387,313,95,.68,.72,.50,340,.63,677.000,.81,.65,.31,.45,327,.42,671.000,.20,.36,.51, 
46,1,1,1,Adrian Mannarino,3,34,946,27,79.0,180,28,26,980387,280,112,.60,.71,.54,314,.60,620.000,.80,.64,.27,.51,351,.35,627.000,.20,.36,.50, 
47,1,1,1,Brandon Nakashima,3,21,927,25,84.0,188,35,23,1646924,431,91,.65,.75,.53,296,.62,719.000,.84,.67,.27,.49,347,.38,718.000,.19,.36,.51, 
48,1,1,1,Jenson Brooksby,3,22,920,24,83.0,193,24,22,1062933,127,62,.66,.66,.52,305,.58,508.000,.75,.61,.32,.50,302,.44,506.000,.26,.39,.50, 
49,1,1,1,Andy Murray,3,35,920,20,82.0,191,26,19,933978,290,120,.60,.74,.49,268,.57,554.000,.79,.64,.29,.55,333,.39,554.000,.24,.38,.51, 
50,1,1,1,Alex Molcan,3,25,895,22,73.0,178,26,20,908925,159,94,.65,.67,.53,316,.59,549.000,.77,.62,.30,.50,312,.39,541.000,.23,.38,.50, 
51,1,1,1,Corentin Moutet,3,23,892,21,71.0,175,14,11,680437,60,59,.66,.67,.51,189,.60,322.000,.77,.62,.30,.52,198,.40,331.000,.24,.38,.50, 
52,1,1,1,Gael Monfils,3,36,880,14,85.0,193,14,7,726145,156,73,.60,.75,.52,98,.61,231.000,.84,.66,.34,.51,152,.41,224.000,.28,.40,.53, 
53,1,1,1,David Goffin,3,32,870,26,70.0,180,27,26,1268575,220,161,.57,.70,.49,372,.59,603.000,.75,.61,.32,.50,401,.39,617.000,.25,.39,.50, 
54,1,1,1,Filip Krajinovic,3,30,845,16,75.0,185,19,17,1069728,139,73,.64,.69,.52,265,.61,448.000,.77,.63,.27,.50,202,.48,443.000,.22,.36,.50, 
55,1,1,1,Fabio Fognini,3,35,843,23,79.0,178,19,23,875606,140,191,.59,.66,.49,353,.59,513.000,.72,.59,.29,.51,315,.39,517.000,.24,.37,.49, 
56,1,1,1,Marc-Andrea Huesler,3,26,818,26,86.0,196,11,12,464789,192,47,.61,.76,.55,101,.60,278.000,.86,.68,.22,.47,89,.44,280.000,.14,.31,.50, 
57,1,1,1,Pedro Cachin,3,27,813,22,77.0,185,5,6,453203,109,28,.65,.72,.48,101,.62,176.000,.78,.63,.27,.49,89,.37,173.000,.19,.36,.50, 
58,1,1,1,Jaume Munar,3,25,802,29,76.0,183,19,24,755099,166,157,.63,.68,.48,324,.58,525.000,.74,.61,.34,.50,370,.36,524.000,.26,.40,.50, 
59,1,1,1,Aslan Karatsev,3,29,795,30,85.0,185,17,29,938838,216,229,.59,.69,.49,372,.60,594.000,.75,.61,.30,.49,340,.39,603.000,.22,.37,.49, 
60,1,1,1,Benjamin Bonzi,3,26,781,26,82.0,183,21,25,768836,254,103,.60,.74,.53,241,.64,514.000,.83,.66,.27,.51,263,.38,506.000,.20,.36,.51, 
61,1,1,1,Marcos Giron,3,29,776,27,77.0,180,18,28,861393,232,69,.61,.70,.51,298,.56,560.000,.77,.63,.27,.46,248,.40,567.000,.17,.34,.49, 
62,1,1,1,Pedro Martinez,3,25,776,27,76.0,185,20,25,815621,96,162,.65,.64,.52,340,.58,546.000,.74,.60,.31,.51,359,.35,548.000,.23,.38,.49, 
63,1,1,1,Mackenzie McDonald,3,27,775,28,73.0,178,26,28,991867,286,111,.65,.69,.51,393,.61,672.000,.77,.62,.30,.51,380,.43,670.000,.24,.38,.50, 
64,1,1,1,Quentin Halys,3,26,767,28,85.0,191,3,11,461898,176,57,.59,.79,.48,89,.63,203.000,.84,.66,.25,.47,95,.33,205.000,.15,.33,.49, 
65,1,1,1,Constant Lestienne,3,30,760,27,77.0,180,7,4,272851,38,33,.60,.71,.48,59,.54,118.000,.77,.62,.31,.46,70,.33,113.000,.20,.36,.49, 
66,1,1,1,J.J. Wolf,3,24,746,26,77.0,183,15,13,522712,191,87,.60,.72,.49,191,.59,334.000,.76,.62,.29,.50,184,.39,328.000,.22,.37,.50, 
67,1,1,1,Daniel Elahi Galan,3,26,741,24,72.0,191,13,12,583074,90,29,.64,.67,.50,191,.58,319.000,.75,.61,.30,.51,184,.42,316.000,.24,.38,.50, 
68,1,1,1,Richard Gasquet,3,36,740,24,79.0,183,26,19,807643,218,157,.58,.71,.51,295,.59,562.000,.79,.63,.29,.51,322,.39,555.000,.23,.37,.50, 
69,1,1,1,Mikael Ymer,3,24,739,22,75.0,183,23,19,689504,83,118,.67,.66,.50,304,.58,499.000,.74,.61,.34,.52,340,.43,490.000,.30,.41,.51, 
70,1,1,1,Laslo Djere,3,27,738,25,82.0,188,21,25,764797,274,169,.61,.73,.49,288,.63,558.000,.81,.64,.27,.47,284,.40,562.000,.20,.35,.49, 
71,1,1,1,Thiago Monteiro,3,28,738,28,78.0,183,15,21,528541,208,45,.66,.73,.55,196,.63,412.000,.83,.67,.25,.48,163,.42,412.000,.17,.33,.50, 
72,1,1,1,Bernabe Zapata Miralles,3,25,712,25,79.0,183,10,16,605263,55,55,.65,.62,.49,221,.55,305.000,.68,.58,.32,.50,163,.51,304.000,.27,.38,.48, 
73,1,1,1,Ilya Ivashka,3,28,705,25,87.0,193,22,21,751089,191,114,.64,.70,.50,307,.62,570.000,.79,.63,.29,.48,303,.42,573.000,.22,.36,.50, 
74,1,1,1,Roberto Carballes Baena,3,29,695,32,77.0,183,11,18,569004,56,85,.62,.65,.52,249,.62,361.000,.74,.60,.28,.48,146,.53,365.000,.21,.36,.49, 
75,1,1,1,Federico Coria,3,30,695,31,73.0,180,15,18,641109,84,82,.67,.64,.49,251,.52,383.000,.68,.59,.33,.50,237,.41,384.000,.25,.39,.49, 
76,1,1,1,Oscar Otte,3,29,691,25,79.0,193,19,26,816159,340,168,.57,.76,.49,288,.67,482.000,.80,.64,.28,.48,246,.39,483.000,.20,.35,.50, 
77,1,1,1,Kamil Majchrzak,3,26,653,21,78.0,180,17,25,690603,156,56,.61,.72,.52,186,.64,353.000,.81,.64,.25,.54,177,.42,344.000,.22,.36,.51, 
78,1,1,1,Christopher O'Connell,3,28,652,27,78.0,183,6,12,481165,150,46,.63,.71,.49,143,.62,256.000,.79,.63,.27,.47,138,.29,249.000,.16,.35,.49, 
79,1,1,1,Tomas Martin Etcheverry,3,23,649,30,82.0,196,3,14,437118,68,44,.68,.63,.49,156,.58,211.000,.69,.59,.25,.44,82,.37,215.000,.14,.32,.46, 
80,1,1,1,Dusan Lajovic,3,32,646,27,83.0,183,11,23,860832,115,50,.68,.66,.51,267,.57,424.000,.73,.61,.28,.48,232,.35,431.000,.19,.36,.48, 
81,1,1,1,Jiri Lehecka,3,21,646,26,81.0,185,13,19,793850,148,78,.65,.67,.51,227,.61,362.000,.75,.61,.27,.46,172,.39,363.000,.18,.35,.48, 
82,1,1,1,Joao Sousa,3,33,638,24,74.0,185,16,20,636912,120,80,.61,.69,.50,242,.57,422.000,.75,.61,.30,.50,254,.36,426.000,.22,.38,.49, 
83,1,1,1,Soonwoo Kwon,3,25,630,24,72.0,180,20,24,781004,188,121,.60,.70,.50,293,.59,489.000,.76,.62,.26,.51,272,.39,496.000,.21,.36,.49, 
84,1,1,1,Jordan Thompson,3,28,626,28,82.0,183,11,17,581070,190,49,.64,.71,.47,184,.57,344.000,.77,.63,.28,.44,152,.37,341.000,.16,.34,.48, 
85,1,1,1,Cristian Garin,3,26,615,22,85.0,185,18,23,1408343,115,138,.62,.66,.47,378,.59,522.000,.70,.59,.32,.49,326,.40,530.000,.25,.38,.49, 
86,1,1,1,Ugo Humbert,3,24,613,25,73.0,188,9,21,826461,163,78,.63,.68,.51,236,.58,420.000,.76,.62,.28,.47,192,.36,414.000,.17,.35,.49, 
87,1,1,1,Marton Fucsovics,3,30,607,24,82.0,188,16,19,702250,137,122,.61,.70,.51,215,.61,393.000,.79,.63,.29,.49,210,.36,394.000,.19,.36,.49, 
88,1,1,1,Roman Safiullin,3,25,606,17,75.0,185,9,6,348279,118,49,.63,.75,.52,91,.69,195.000,.86,.67,.27,.52,118,.32,195.000,.19,.36,.51, 
89,1,1,1,Facundo Bagnis,3,32,603,28,82.0,183,7,15,469053,121,51,.62,.66,.50,184,.61,266.000,.73,.60,.29,.49,138,.42,265.000,.22,.36,.49, 
90,1,1,1,Gregoire Barrere,3,28,603,29,80.0,183,2,3,237151,24,12,.64,.76,.49,35,.54,73.000,.78,.66,.27,.44,21,.52,72.000,.15,.33,.49, 
91,1,1,1,Nikoloz Basilashvili,3,30,595,28,79.0,185,14,29,1061680,144,164,.57,.69,.46,314,.53,485.000,.70,.59,.25,.49,215,.36,490.000,.16,.33,.46, 
92,1,1,1,Taro Daniel,3,29,594,24,84.0,191,13,19,646182,177,53,.62,.71,.47,221,.57,371.000,.74,.62,.30,.49,187,.41,363.000,.21,.37,.49, 
93,1,1,1,Thanasi Kokkinakis,3,26,592,15,84.0,193,17,17,590959,331,76,.64,.77,.48,178,.65,382.000,.84,.66,.26,.44,167,.34,390.000,.14,.33,.49, 
94,1,1,1,Daniel Altmaier,3,24,590,31,80.0,188,5,21,531922,178,69,.61,.69,.46,227,.60,321.000,.72,.60,.26,.45,151,.33,324.000,.15,.33,.47, 
95,1,1,1,Tallon Griekspoor,3,26,584,25,85.0,188,17,25,719704,263,115,.62,.72,.51,262,.63,498.000,.81,.64,.24,.50,241,.32,500.000,.15,.34,.49, 
96,1,1,1,Ben Shelton,3,20,584,14,88.0,193,3,3,221555,60,29,.59,.79,.54,31,.71,86.000,.90,.69,.26,.43,29,.38,87.000,.13,.31,.50, 
97,1,1,1,Tomas Machac,3,22,580,20,74.0,183,4,5,278773,40,16,.63,.66,.56,64,.66,106.000,.79,.62,.25,.53,57,.37,108.000,.19,.37,.49, 
98,1,1,1,Vasek Pospisil,3,32,570,20,88.0,193,5,4,179849,74,16,.59,.82,.49,20,.60,79.000,.90,.69,.27,.46,35,.37,78.000,.17,.33,.51, 
99,1,1,1,Zhizhen Zhang,3,26,569,25,87.0,193,5,4,199673,52,10,.65,.72,.56,40,.60,95.000,.83,.67,.28,.43,54,.22,96.000,.13,.34,.49, 
100,1,1,1,Alejandro Tabilo,3,25,567,17,75.0,188,17,16,526079,179,97,.64,.69,.47,226,.56,356.000,.72,.61,.33,.52,230,.43,345.000,.29,.40,.51, 
101,2,1,1,Marco Cecchinato,3,30,562,30,78.0,185,4,7,281398,25,22,.67,.64,.46,109,.62,137.000,.70,.58,.27,.52,85,.34,134.000,.22,.36,.48, 
102,2,1,1,Dominic Thiem,3,29,561,23,79.0,185,18,16,421123,146,76,.63,.69,.53,208,.56,408.000,.78,.63,.29,.48,203,.38,418.000,.19,.36,.49, 
103,2,1,1,Radu Albot,3,33,559,23,69.0,175,9,10,455300,65,58,.64,.70,.50,144,.63,245.000,.78,.63,.28,.51,132,.39,247.000,.21,.37,.50, 
104,2,1,1,Emilio Gomez,3,31,553,22,81.0,185,2,5,228723,9,11,.59,.62,.48,36,.44,50.000,.60,.57,.28,.41,28,.25,52.000,.13,.32,.44, 
105,2,1,1,Juan Pablo Varillas,3,27,552,25,77.0,185,8,6,218467,39,17,.55,.68,.54,52,.50,109.000,.76,.62,.24,.52,43,.47,108.000,.19,.35,.49, 
106,2,1,1,Denis Kudla,3,30,548,25,79.0,180,6,16,523545,107,55,.62,.68,.51,163,.55,300.000,.75,.62,.24,.49,130,.41,302.000,.18,.33,.48, 
107,2,1,1,Jason Kubler,3,29,538,21,74.0,178,11,9,586151,111,70,.62,.72,.52,118,.63,249.000,.82,.64,.27,.48,121,.39,248.000,.19,.35,.50, 
108,2,1,1,Hugo Gaston,3,22,526,25,68.0,173,10,18,631995,86,75,.55,.66,.48,289,.64,345.000,.70,.58,.31,.50,194,.40,347.000,.22,.38,.48, 
109,2,1,1,Jiri Vesely,3,29,524,18,94.0,198,8,11,734492,212,116,.63,.77,.47,136,.66,251.000,.82,.66,.25,.46,115,.29,252.000,.13,.32,.49, 
110,2,1,1,Steve Johnson,3,33,517,25,86.0,188,16,17,683610,321,124,.57,.77,.53,194,.64,429.000,.84,.67,.23,.47,176,.31,426.000,.13,.31,.49, 
111,2,1,1,Tim van Rijthoven,3,25,516,23,88.0,188,9,6,568338,212,59,.62,.78,.55,87,.63,228.000,.86,.70,.25,.41,90,.38,228.000,.15,.30,.50, 
112,2,1,1,Nuno Borges,3,25,512,25,78.0,185,6,6,314847,52,28,.65,.70,.57,66,.64,154.000,.84,.66,.26,.49,62,.32,155.000,.13,.35,.50, 
113,2,1,1,Michael Mmoh,3,24,507,26,90.0,188,1,3,223701,15,14,.71,.65,.46,37,.59,55.000,.73,.59,.35,.48,49,.29,54.000,.26,.39,.49, 
114,2,1,1,Norbert Gombos,3,32,496,22,85.0,193,2,9,323220,32,32,.61,.70,.49,66,.61,116.000,.78,.62,.27,.39,51,.27,118.000,.12,.31,.47, 
115,2,1,1,Chun-Hsin Tseng,3,21,490,23,65.0,175,5,11,495389,28,56,.58,.65,.48,113,.53,163.000,.67,.58,.24,.50,96,.26,166.000,.15,.34,.46, 
116,2,1,1,Yibing Wu,3,23,488,11,80.0,183,2,1,232988,21,13,.62,.67,.56,28,.64,53.000,.81,.63,.35,.47,34,.32,52.000,.21,.39,.51, 
117,2,1,1,Pavel Kotov,3,24,483,20,89.0,191,2,4,239734,15,18,.58,.65,.45,50,.50,74.000,.66,.57,.30,.44,44,.41,77.000,.23,.36,.46, 
118,2,1,1,Dominic Stricker,3,20,483,23,80.0,183,7,6,401783,124,32,.60,.78,.52,51,.59,149.000,.86,.68,.24,.48,63,.32,150.000,.13,.32,.50, 
119,2,1,1,Francesco Passaro,3,21,473,26,82.0,180,2,5,253849,27,19,.66,.63,.51,49,.53,73.000,.68,.59,.25,.48,23,.39,74.000,.12,.33,.46, 
120,2,1,1,Alexei Popyrin,3,23,469,25,78.0,196,5,17,575195,195,88,.61,.73,.47,158,.63,288.000,.80,.63,.24,.46,138,.26,291.000,.12,.33,.48, 
121,2,1,1,Pablo Andujar,3,36,467,21,80.0,180,9,13,480930,29,95,.66,.63,.45,197,.56,249.000,.65,.57,.33,.50,170,.42,255.000,.28,.39,.48, 
122,2,1,1,Jurij Rodionov,3,23,465,28,83.0,191,4,5,172545,35,25,.63,.74,.50,43,.72,73.000,.84,.65,.25,.44,31,.23,74.000,.09,.32,.49, 
123,2,1,1,Christopher Eubanks,3,26,462,23,82.0,201,4,6,307617,115,37,.69,.76,.48,61,.72,131.000,.87,.67,.22,.42,31,.45,130.000,.11,.29,.49, 
124,2,1,1,Fernando Verdasco,3,39,460,30,90.0,188,5,11,326906,68,46,.63,.67,.49,138,.60,204.000,.73,.60,.31,.46,103,.37,203.000,.19,.36,.48, 
125,2,1,1,Federico Delbonis,3,32,456,26,90.0,193,10,22,730622,103,99,.66,.66,.48,236,.56,365.000,.72,.60,.29,.47,159,.47,364.000,.21,.35,.48, 
126,2,1,1,Camilo Ugo Carabelli,3,23,449,22,83.0,185,1,1,188944,7,6,.67,.57,.52,22,.41,37.000,.65,.56,.35,.46,19,.42,38.000,.21,.39,.47, 
127,2,1,1,Elias Ymer,3,26,444,22,78.0,185,12,8,292208,93,55,.58,.73,.51,108,.65,188.000,.80,.64,.29,.49,91,.43,185.000,.21,.37,.51, 
128,2,1,1,Yannick Hanfmann,3,31,435,22,86.0,193,7,7,308258,55,17,.64,.71,.52,91,.69,148.000,.81,.64,.30,.47,71,.39,149.000,.19,.36,.50, 
129,2,1,1,Zizou Bergs,3,23,435,22,86.0,185,1,6,203243,15,5,.65,.70,.51,17,.65,35.000,.83,.63,.24,.48,11,.55,36.000,.17,.35,.49, 
130,2,1,1,Aleksandar Vukic,3,26,429,24,85.0,188,6,5,241665,92,16,.59,.75,.58,65,.66,149.000,.85,.68,.24,.49,64,.31,150.000,.13,.33,.50, 
131,2,1,1,Jack Sock,3,30,428,19,88.0,191,7,11,396918,106,67,.64,.70,.51,127,.59,238.000,.78,.63,.27,.48,106,.43,238.000,.19,.35,.50, 
132,2,1,1,Hugo Dellien,3,29,425,18,75.0,180,5,11,301367,130,118,.73,.62,.47,602,.57,804.000,.68,.58,.30,.50,459,.38,800.000,.22,.38,.48, 
133,2,1,1,Jelle Sels,1,27,421,29,83.0,188,0,0,66843,,,,,,,,,,,,,,,,,,, 
134,2,1,1,Matteo Arnaldi,3,21,419,30,71.0,185,0,4,222234,23,12,.67,.71,.50,21,.57,46.000,.80,.64,.24,.47,26,.23,48.000,.13,.32,.48, 
135,2,1,1,Luca Nardi,3,19,408,21,80.0,185,1,4,163637,24,26,.62,.62,.49,80,.51,121.000,.68,.57,.27,.47,66,.26,117.000,.15,.34,.46, 
136,2,1,1,Lukas Klein,3,24,405,20,85.0,193,0,1,103616,12,6,.68,.68,.63,11,.45,25.000,.76,.67,.28,.53,14,.29,27.000,.15,.36,.50, 
137,2,1,1,Jozef Kovalik,3,30,404,18,82.0,183,1,3,173006,9,8,.70,.60,.48,44,.61,47.000,.64,.56,.25,.54,31,.29,47.000,.19,.36,.46, 
138,2,1,1,Franco Agamenone,3,29,403,30,80.0,191,3,2,208511,6,13,.65,.63,.50,46,.54,63.000,.67,.59,.35,.55,50,.44,64.000,.34,.42,.50, 
139,2,1,1,Luca Van Assche,3,18,403,28,72.0,180,0,1,72498,7,2,.59,.62,.47,15,.67,16.000,.69,.56,.31,.48,16,.25,16.000,.25,.36,.45, 
140,2,1,1,Vit Kopriva,3,25,391,26,69.0,178,2,4,133806,9,15,.61,.62,.50,30,.43,45.000,.62,.57,.35,.54,30,.47,45.000,.31,.42,.49, 
141,2,1,1,Hugo Grenier,3,26,388,28,85.0,196,2,6,341638,65,33,.67,.72,.44,67,.55,131.000,.77,.63,.25,.46,61,.38,133.000,.17,.34,.48, 
142,2,1,1,Timofey Skatov,3,21,387,31,72.0,175,0,1,142866,0,3,.74,.57,.56,16,.69,17.000,.71,.56,.31,.42,9,.33,17.000,.18,.34,.47, 
143,2,1,1,Gilles Simon,3,37,385,25,70.0,183,7,8,359743,44,33,.61,.66,.48,124,.55,183.000,.69,.59,.29,.51,99,.42,186.000,.23,.38,.49, 
144,2,1,1,Borna Gojo,3,24,381,23,90.0,196,3,5,192966,60,38,.62,.73,.45,52,.69,90.000,.82,.62,.30,.46,59,.24,91.000,.15,.36,.49, 
